# ============================================
# MODBUS RTU SPECIFICATION - Kaisai/Phinx Heat Pumps
# ============================================
#
# 1. TRANSMISSION FORMAT
# ----------------------
# Baud Rate:     9600 bps
# Start bit:     1
# Byte width:    8
# Parity:        None (N)
# Stop bits:     1
# Slave address: 0x10 (16 decimal)
#
# 2. PACKET FORMAT
# ----------------
# | Address (16bit) | Function (16bit) | Data (N*16bit) | CRC Checksum (16bit) |
#
# Function codes:
#   03 - Read multiple registers
#   16 - Write (preset) multiple registers
#
# 3. DATA TYPES
# -------------
# TEMP  - Signed, 0.1°C resolution. Formula: T*10. Range: -30~97°C
#         Example: 25°C = 250, -25°C = -250 (bit15=1 for negative)
#         Value 32767 indicates sensor fault
# DIGI1 - Unsigned, unit 1. Display 123 = data 123
# DIGI2 - Unsigned, unit 10. Display 1230 = data 123
# DIGI3 - Unsigned, unit 100. Display 12300 = data 123
# DIGI4 - Unsigned, unit 100. Display 12300 = data 123
# DIGI5 - Unsigned, unit 0.1. Display 12.3 = data 123
# DIGI6 - Unsigned, unit 0.001. Display 0.123 = data 123
# DIGI9 - Unsigned, unit 0.01. Display 0.12 = data 12
# ENUM  - Enumeration, discrete values
# BINARY- Bitfield, each bit has meaning
#
# ============================================
Parameter address,Parameter name,Parameter code,Standard num,Mode,Description,Data type,Setting range
5105,Max. Cooling Target Temp.,L15,--,Read-write,-30.0~80℃,TEMP,-30~80
5106,Min. Cooling Target Temp.,L16,--,Read-write,-30.0~80℃,TEMP,-30~80
5107,Max. Heating Target Temp.,L17,--,Read-write,-30~90℃,TEMP,-30~90
5108,Min. Heating Target Temp.,L18,--,Read-write,-30~90℃,TEMP,-30~90
5109,Max. DHW Target Temp.,L19,--,Read-write,0~85℃,TEMP,0~85
5110,Min. DHW Target Temp.,L20,--,Read-write,0~85℃,TEMP,0~85
5111,Supported Mode of Project,L21,--,Read-write,--,ENUM,1~6
5112,Enable weather compensation,L22,--,Read-write,--,ENUM,0~1
5113,Slope,L23,--,Read-write,0~3.5,DIGI5,0~3.5
5114,Offset,L24,--,Read-write,0~85,TEMP,0~85
5115,Enable Energy level coordination,L25,--,Read-write,--,ENUM,0~1
5116,Location of Electric Heater,L26,--,Read-write,0-【Not Available】/1-【Main Water Circuit】/2-【DHW Tank】/3-【Buffer Tank】,ENUM,0~3
5117,Electric Heater Stage,L27,--,Read-write,1-【Stage1】/2-【Stage2】/3-【Stage3】,ENUM,1~3
5118,Electric Heater On AT,L28,--,Read-write,-30~60℃,TEMP,-30~60
5119,Electric Heater Delays On Time,L29,--,Read-write,10~999min,DIGI1,10~999
5120,Electric Heater Forced On Time,L30,--,Read-write,10~1440min,DIGI1,10~1440
5121,AT to Start Electric Heater Without Delay,L31,--,Read-write,-30~60℃,TEMP,-30~60
5122,Electric Heater Off Temp. Diff,L32,--,Read-write,0-20℃,TEMP,0~20
5123,Electric Heater Opening Temp.Diff,L33,--,Read-write,0-20℃,TEMP,0~20
5124,Electric Heater On Load,L34,--,Read-write,0~100%,DIGI1,0~100
5136,Centralized Control Software Code,L40,--,Read-only,--,DIGI1,--
5137,Centralized Control Version,L41,--,Read-only,--,DIGI1,--
5138,Operating Units,L42,--,Read-only,--,DIGI1,--
5139,Average Frequency of Running,L43,--,Read-only,--,DIGI1,--
5140,Average Load Ratio,L44,--,Read-only,--,DIGI1,--
5141,Average Inlet Water Temp. of Running,L45,--,Read-only,--,TEMP,--
5142,Average Outlet Water Temp. of Running,L46,--,Read-only,--,TEMP,--
5143,DHW Tank Temp.,L47,--,Read-only,--,TEMP,--
5144,Quantity of Units to Defrosting,L48,--,Read-only,--,DIGI1,--
5145,Quantity of Units in Defrosting,L49,--,Read-only,--,DIGI1,--
5146,PID Out Value,L50,--,Read-only,--,DIGI1,--
5148,If change the unit mode,L52,--,Read-only,--,DIGI1,--
5150,JK Power,L53,--,Read-only,--,ENUM,--
5151,JK Run Mode,L54,--,Read-only,--,ENUM,--
5152,OneKeyFlag,L56,--,Read-only,--,DIGI1,--
5153,UnitCommFalutFlag,L57,--,Read-only,--,DIGI1,--
5154,Communication Fault Rate,L58,--,Read-only,0~100%,DIGI1,--
5155,SG Run Mode,L65,--,Read-only,0-No/1-MODE 1/2-MODE 2/3-MODE 3/4-MODE 4/5-NORMAL MODE,DIGI1,--
5156,BMS Communication Enabled,L66,--,Read-only,0-NO/1-YES,DIGI1,--
7001,Thermostat1_Power,RT1-1,--,Read-write,--,ENUM,0~1
7002,Thermostat1_RoomTarget,RT1-2,--,Read-write,--,TEMP,8~30
7003,Thermostat1_Zone_Selection,RT1-3,--,Read-write,--,ENUM,1~2
7004,Thermostat1_Mode,Thermostat1_Mode,--,Read-write,--,ENUM,0~4
7005,Thermostat1_Mute,Thermostat1_Mute,--,Read-write,--,ENUM,0~1
7006,Thermostat1_EnvTemp,Thermostat1_EnvTemp,--,Read-only,--,TEMP,--
7008,Thermostat1_Slope,RT1-9,--,Read-write,0.0~3.5,DIGI5,0~3.5
7009,Thermostat1_Offset,RT1-10,--,Read-write,8~30℃,TEMP,8~30
7060,Thermostat1_Code,RT1-4,--,Read-only,--,DIGI1,--
7061,Thermostat1_Version,RT1-5,--,Read-only,--,DIGI1,--
7062,Thermostat1_Selection,RT1-6,--,Read-only,--,BINARY,--
7063,Thermostat1_RoomTemp,RT1-7,--,Read-only,--,TEMP,--
7064,Thermostat1_NeedOn,RT1-8,--,Read-only,--,ENUM,--
7065,Thermostat1_StateTarget,RT1-11,--,Read-only,--,TEMP,--
7066,Thermostat1_MuteStatus,Thermostat1_MuteStatus,--,Read-only,--,ENUM,--
7080,RT1-Fault,RT1-Fault,--,Read-only,--,DIGI1,--
7091,Thermostat2_Power,RT2-1,--,Read-write,--,ENUM,0~1
7092,Thermostat2_RoomTarget,RT2-2,--,Read-write,8~30℃,TEMP,8~30
7093,Thermostat2_Zone_Selection,RT2-3,--,Read-write,1~2,ENUM,1~2
7094,Thermostat2_Mode,Thermostat2_Mode,--,Read-write,--,ENUM,0~4
7095,Thermostat2_Mute,Thermostat2_Mute,--,Read-write,--,ENUM,0~1
7096,Thermostat2_EnvTemp,Thermostat2_EnvTemp,--,Read-only,--,TEMP,--
7098,Thermostat2_Slope,RT2-9,--,Read-write,0.0~3.5,DIGI5,0~3.5
7099,Thermostat2_Offset,RT2-10,--,Read-write,8~30℃,TEMP,8~30
7150,Thermostat2_Code,RT2-4,--,Read-only,--,DIGI1,--
7151,Thermostat2_Version,RT2-5,--,Read-only,--,DIGI1,--
7152,Thermostat2_Selection,RT2-6,--,Read-only,--,ENUM,--
7153,Thermostat2_RoomTemp,RT2-7,--,Read-only,--,TEMP,--
7154,Thermostat2_NeedOn,RT2-8,--,Read-only,--,ENUM,--
7155,Thermostat2_StateTarget,RT2-11,--,Read-only,--,ENUM,--
7170,RT2-Fault,RT2-Fault,--,Read-only,--,DIGI1,--
8001,EMS Strategy,EMS Strategy,--,Read-write,Command0~Command4,DIGI1,0~4
8002,Electricity Price,Electricity Price,--,Read-write,--,TEMP,--
8003,Battery Power,Battery Power,--,Read-write,--,Float,--
8004,OnGridPower,OnGridPower,--,Read-write,--,Float,--
8005,Battery SoC,Battery SoC,--,Read-write,0.0~100.0%,DIGI5,0~100
8006,Power Limit,EMS07,--,Read-write,0.0~99.9kW,DIGI5,0~99.9
8007,PV Power,PV Power,--,Read-only,--,Float,--
8008,Natural Gas Price,Natural Gas Price,--,Read-only,--,DIGI9,--
8010,Fault,Fault,--,Read-write,--,DIGI1,--
